article,pageviews
Edwin_Hubble,144230
Effective_mass_(solid-state_physics),648
Effective_nuclear_charge,2193
Effective_radiated_power,14589
Effective_temperature,2023
Effects_of_nuclear_explosions,159154
Effects_of_nuclear_explosions_on_human_health,652
Effervescence,3133
Ehrenfest_paradox,546
Ehrenfest_theorem,4043
Eightfold_way_(physics),184
Einstein's_Blackboard,880
Einstein's_thought_experiments,430
Einstein_(unit),126
Einstein_Cross,803
Einstein_field_equations,118398
Einstein_notation,35674
Einstein_refrigerator,13276
Einstein_relation_(kinetic_theory),13982
Einstein_ring,4987
Einstein_tensor,1396
Einsteinhaus,631
Ekman_spiral,246
Ekman_transport,360
Ekpyrotic_universe,126
Elastic_collision,17154
Elastic_modulus,36263
Elastica_theory,458
Elasticity_(physics),6742
Electret,2270
Electric_arc,44095
Electric_battery,189373
Electric_charge,132096
Electric_current,186168
Electric_dipole_moment,32521
Electric_displacement_field,1114
Electric_field,138450
Electric_flux,1592
Electric_generator,77661
Electric_heating,3768
Electric_motor,139987
Electric_potential,70580
Electric_potential_energy,9387
Electric_power,35651
Electrical_breakdown,2164
Electrical_conductance,1160
Electrical_conductivity,162357
Electrical_impedance,87950
Electrical_network,1697
Electrical_reactance,19746
Electrical_resistivity_and_conductivity,62417
Electrical_resonance,192
Electricity,401728
Electrocaloric_effect,1633
Electrocardiography,420545
Electrochemical_gradient,227
Electrodynamic_tether,516
Electrogravitics,653
Electrolaser,105
Electroluminescence,3915
Electromagnetic_absorption_by_water,7218
Electromagnetic_compatibility,1515
Electromagnetic_field,84973
Electromagnetic_force,282
Electromagnetic_four-potential,530
Electromagnetic_induction,75230
Electromagnetic_metasurface,326
Electromagnetic_pulse,428761
Electromagnetic_radiation,420456
Electromagnetic_radiation_and_health,1024
Electromagnetic_shielding,11752
Electromagnetic_spectrum,533682
Electromagnetic_tensor,8404
Electromagnetic_wave_equation,3956
Electromagnetically_induced_transparency,183
Electromagnetism,284722
Electromigration,91
Electromotive_force,41704
Electron,333301
Electron-beam_processing,2967
Electron_affinity,5826
Electron_backscatter_diffraction,2126
Electron_capture,8026
Electron_configuration,73013
Electron_configurations_of_the_elements_(data_page),28357
Electron_degeneracy_pressure,936
Electron_density,91
Electron_diffraction,701
Electron_excitation,656
Electron_gun,93
Electron_hole,3825
Electron_magnetic_moment,366
Electron_mass,25692
Electron_microscope,47870
Electron_mobility,12309
Electron_neutrino,3414
Electron_paramagnetic_resonance,7332
Electron_precipitation,304
Electron_shell,77470
Electronic_band_structure,4108
Electronvolt,153595
Electropermanent_magnet,105
Electrophoresis,3568
Electroscope,184
Electrospray_ionization,289
Electrostatic_discharge,8798
Electrostatic_generator,109
Electrostatics,45727
Electrovibration,298
Electroweak_interaction,27975
Elementary_charge,73485
Elementary_particle,219392
Elisabeth_Wollman,1665
Elizabeth_Fleischman,1671
Elizabeth_Gardner_(physicist),215
Elizabeth_Riddle_Graves,49463
Elliptic_orbit,4762
EmDrive,8478
Embodied_energy,245
Emergence,92974
Emil_Konopinski,1807
Emission_spectrum,23576
Emissivity,17135
Emmy_Noether,79299
Empedocles,34776
Endothermic_process,5931
Energy,362240
Energy-based_model,1865
Energy-dispersive_X-ray_spectroscopy,8320
Energy_Catalyzer,1429
Energy_cascade,123
Energy_conversion_efficiency,501
Energy_density,61622
Energy_level,16660
Energy_transformation,5035
Engineering_physics,404
English_brewery_cask_units,108
Enhanced_Fujita_scale,221527
Enriched_uranium,127866
Enrico_Fermi,709215
Enrico_Fermi_Award,229580
Ensemble_(mathematical_physics),589
Enthalpy,126782
Enthalpy_of_fusion,18825
Enthalpy_of_vaporization,33269
Entrainment_(hydrodynamics),94
Entrance_pupil,297
Entropic_force,93
Entropic_gravity,2681
Entropy,757686
Entropy_(information_theory),437859
Entropy_(order_and_disorder),228
Entropy_(statistical_thermodynamics),435
Entropy_and_life,2612
Entropy_as_an_arrow_of_time,429
Entropy_in_thermodynamics_and_information_theory,452
Envelope_(waves),320
Environment_(systems),3662
Environmental_Audio_Extensions,97
Environmental_impact_of_nuclear_power,297
Environmental_impact_of_wind_power,1714
Environmental_scanning_electron_microscope,188
Ephraim_Katzir,8343
Epitaxy,1130
Equal-loudness_contour,8012
Equation_of_state,2300
Equation_of_state_(cosmology),1122
Equations_for_a_falling_body,283
Equations_of_motion,32876
Equinox,387685
Equipartition_theorem,7337
Equivalence_principle,9739
Equivalent_dose,110
Erg,20278
Ergodic_hypothesis,1468
Ergosphere,686
Eric_Allin_Cornell,13068
Eric_Betzig,140
Eric_Kandel,1166
Eric_Lerner,1202
Ernest_Lawrence,675138
Ernest_Moniz,2516
Ernest_Rutherford,151060
Ernest_Walton,2101
Ernst_Chladni,4614
Ernst_Mach,15460
Escape_velocity,113283
Etendue,1135
Eternal_inflation,1605
Ettore_Majorana,21642
Euclidean_quantum_gravity,130
Euclidean_vector,33659
Eugene_Mallove,1562
Eugene_Parker,4080
Eugene_Podkletnov,255
Eugene_Wigner,21770
Euler's_Disk,36731
Euler's_critical_load,9823
Euler's_equations_(rigid_body_dynamics),493
Euler's_laws_of_motion,100
Euler's_three-body_problem,13300
Euler_equations_(fluid_dynamics),21511
Euler_number_(physics),117
Eutectic_system,43745
Eva_Ekeblad,1208
Eva_Nogales,114
Evanescent_field,473
Evaporative_cooler,65990
Event_Horizon_Telescope,47320
Event_horizon,217240
Evershed_effect,455
Everything,5564
Evgeny_Velikhov,316
Exchange_interaction,4153
Excimer_laser,310
Excitable_medium,256
Excited_state,425
Exciton,904
Exergy,672
Existential_Physics,1348
Exometeorology,7748
Exoplanet,266263
Exothermic_process,1040
Exotic_atom,1662
Exotic_matter,27872
Exotic_star,3249
Expander_cycle,1020
Expansion_of_the_universe,206739
Expectation_value_(quantum_mechanics),1276
Experimental_Breeder_Reactor_I,1449
Experimental_Breeder_Reactor_II,124
Experimental_physics,181
Experimental_testing_of_time_dilation,104
Explorer_1,25213
Explosion,25691
Exposure_assessment,395
Extended_X-ray_absorption_fine_structure,167
Extended_periodic_table,94913
External_ballistics,1905
External_combustion_engine,92
Extinction_coefficient,180
Extra_Low_Energy_Antiproton_ring,5469
Extra_dimensions,221
Extremal_black_hole,754
Extreme_ultraviolet,827
Extremely_high_frequency,11428
Extremely_large_telescope,1152
Extremely_low_frequency,31306
Extrinsic_semiconductor,206
Eye_(cyclone),95755
Ezio_Todini,182
F-number,109611
F._D._C._Willard,24090
FFF_system,307
Fabiola_Gianotti,880
Failed_supernova,1223
Falling_cat_problem,1993
False_vacuum,97373
Far-red_light,1092
Far_infrared,299
Farad,73296
Faraday's_law_of_induction,129980
Faraday_cage,522974
Faraday_constant,18985
Faraday_cup,394
Faraday_effect,1507
Faraday_paradox,1281
Fast-neutron_reactor,3459
Fast_blue_optical_transient,1410
Fast_multipole_method,132
Faster-than-light,132806
Fata_Morgana_(mirage),309612
Federico_Faggin,6341
Feigenbaum_constants,2813
Felix_Bloch,2592
Femtometre,97
Ferenc_Krausz,18275
Fermat's_principle,3165
Fermi's_golden_rule,6531
Fermi's_interaction,1648
Fermi_energy,4800
Fermi_gas,411
Fermi_level,4955
Fermi_liquid_theory,114
Fermi_problem,39248
Fermilab,95605
Fermion,89125
Fermionic_condensate,128
Ferrimagnetism,91
Ferrite_(magnet),4250
Ferroelectricity,1230
Ferrofluid,41111
Ferromagnetism,69095
Feynman_diagram,90273
Feynman_parametrization,106
Feynman_slash_notation,204
Feynman_sprinkler,7786
Fiber-optic_patch_cord,493
Fiber_Bragg_grating,219
Fiber_laser,2457
Fibre-optic_gyroscope,130
Fick's_laws_of_diffusion,87584
Fictitious_force,4406
Fidelity_of_quantum_states,291
Field_(physics),21808
Field_electron_emission,1586
Field_propulsion,345
Fifth_force,10193
Figure_of_the_Earth,28255
Filter_(signal_processing),943
Fine-structure_constant,106826
Fine-tuned_universe,41208
Fine-tuning_(physics),9460
Fine_structure,1064
Fineness_ratio,299
Finite-difference_time-domain_method,208
Finite_element_method,75745
Finite_potential_well,294
Finite_strain_theory,2139
Finite_volume_method,116
Fire,344526
Fire_piston,1236
Fire_whirl,102495
Firewall_(physics),103
First-surface_mirror,382
First_law_of_thermodynamics,156431
First_observation_of_gravitational_waves,13205
Fisheye_lens,6191
Fissile_material,25248
Fission-fragment_rocket,625
Five-dimensional_space,66719
Fizeau's_measurement_of_the_speed_of_light_in_air,697
Fizeau_experiment,95
Flame,42762
Flammability_limit,819
Flap_(aeronautics),7008
Flash_freezing,1747
Flash_lag_illusion,940
Flash_point,56923
Flatness_problem,409
Flavour_(particle_physics),2312
Fleming's_left-hand_rule_for_motors,3003
Fleming's_right-hand_rule,124
Flerovium,35018
Flexural_strength,2362
Flick_(physics),255
Flight,11544
Float_glass,12102
Flocculation,20355
Floer_homology,100
Flood,89532
Flow_coefficient,2263
Flow_measurement,96
Flow_velocity,203
Fluid,5636
Fluid_dynamics,71193
Fluid_mechanics,21730
Fluid_pressure,14743
Fluidics,142
Fluorescence,69757
Fluorescence_spectroscopy,297
Fluorescent_lamp,72816
Fluorophore,417
Flux,67082
Flux_pinning,7586
Flying_wing,46668
Focal_length,82881
Fock_space,405
Focus_(optics),91
Focused_ion_beam,848
Focused_ultrasound,439
Fog_bow,2374
Fogbank,43770
Forbidden_mechanism,401
Forbush_decrease,218
Force,147568
Force_between_magnets,3821
Force_field_(chemistry),98
Forward-swept_wing,2846
Forward_scatter,546
Foucault_pendulum,122282
Fouling,108
Four-bar_linkage,4418
Four-dimensional_space,459859
Four-momentum,1452
Four-terminal_sensing,117
Four-vector,499
Four-wave_mixing,225
Fourier-transform_infrared_spectroscopy,41163
"Fourth,_fifth,_and_sixth_derivatives_of_position",90104
Fourth_dimension_in_literature,275
Fourth_power_law,5997
Fractal_dimension,17151
Fractional_quantum_Hall_effect,1272
Fracture,105
Fracture_mechanics,1549
Frame-dragging,3679
Frame_of_reference,2710693
Francis_Crick,94190
Frank_Haig,671
Frank_J._Tipler,503
Frank_Lloyd_Wright,1162584
Frank_Oppenheimer,1058476
Frank_Wilczek,5009
Franklin's_electrostatic_machine,683
Fraser_spiral_illusion,1891
Fraunhofer_diffraction,774
Fraunhofer_lines,4154
Frazil_ice,853
Fred_Alan_Wolf,102
Fred_Begay,526
Fred_Espenak,2145
Fred_Hoyle,5479
"Frederick_Lindemann,_1st_Viscount_Cherwell",270
Free-air_gravity_anomaly,342
Free-electron_laser,2250
Free_body_diagram,4177
Free_fall,28611
Free_neutron_decay,90
Free_surface_effect,1764
Freeman_Dyson,145821
Freezing,8040
Frequency,204929
Frequency_comb,97
Frequency_response,517
Frequency_selective_surface,3127
Fresnel_diffraction,92
Fresnel_equations,53571
Fresnel_integral,3023
Fresnel_lens,144012
Fresnel_zone,1735
Fretting,193
Friction,79524
Friedmann_equations,19148
Fringe_shift,201
Fritjof_Capra,308
Fritz_Zwicky,939
Frost_flower_(sea_ice),6705
Froude_number,2829
Frozen_food,303
Fuel_cell,112676
Fuel_efficiency,191
Fugacity,2282
Fujita_scale,292670
Fujiwhara_effect,49607
Functional_derivative,707
Fundamental_frequency,9448
Fundamental_interaction,112779
Fusa_Miyake,95
Fused_quartz,6189
Fusion_ignition,7408
Fusion_power,231368
Fusion_rocket,1030
Fusor,13168
Future_Circular_Collider,9406
Future_of_an_expanding_universe,61418
Fuzzball_(string_theory),1479
G-factor_(physics),495
G-force,310177
G._I._Taylor,998
G._N._Ramachandran,116
GN-z11,17971
GRACE_and_GRACE-FO,235
GW170817,123
Gain_(antenna),2245
Gal_(unit),305
Galaxy_filament,70471
Galaxy_formation_and_evolution,1135
Galaxy_rotation_curve,1666
Galilean_invariance,560
Galilean_transformation,316
Galileo's_Leaning_Tower_of_Pisa_experiment,9692
Galileo_Ferraris,123
Galileo_Galilei,1092801
Galileo_thermometer,34054
Galvanometer,1296
Gamma-ray_burst,122821
Gamma-ray_laser,467
Gamma_matrices,17540
Gamma_ray,316157
Gary_L._Bennett,205
Gas,139944
Gas-discharge_lamp,1050
Gas_centrifuge,95
Gas_constant,446138
Gas_laser,176
Gas_laws,11178
Gaseous_diffusion,460
Gaspard-Gustave_de_Coriolis,1612
Gauge_boson,348
Gauge_fixing,452
Gauge_theory,69083
Gauss's_law,82534
Gauss's_law_for_gravity,95
Gauss's_principle_of_least_constraint,92
Gauss_(unit),24293
Gaussian_beam,46175
Gaussian_integral,107715
Gaussian_units,1060
Gay-Lussac's_law,10729
Geiger_counter,127338
Gel,3867
General_relativity,452531
General_relativity_priority_dispute,156
Generalized_Stokes_theorem,10508
Geneva_drive,940
Genius_(American_TV_series),129912
Geocentric_orbit,145
Geodesic,57757
Geodesics_in_general_relativity,1889
Geodesy,50680
Geoffrey_Hinton,383465
Geoid,11183
Geomagnetic_latitude,802
Geomagnetic_pole,994
Geomagnetic_storm,178600
Geomagnetically_induced_current,3124
Geometric_algebra,5041
Geometric_diode,499
Geometric_phase,657
Geometrical_frustration,128
Geometrical_optics,104
Geon_(physics),1128
Geophysics,2750
Georg_Christoph_Lichtenberg,136
Georg_Ohm,9118
Georg_Wilhelm_Richmann,769
George_C._Eltenton,28193
George_Edward_Alcorn_Jr.,3919
George_F._R._Ellis,264
George_Gamow,644
George_Green_(mathematician),1546
George_Irving_Bell,208
George_Paget_Thomson,599
George_Robert_Carruthers,5383
George_Smoot,7021
George_Volkoff,18378
Geostationary_orbit,73919
Geostationary_transfer_orbit,2065
Geothermal_energy,79571
Gerald_Bull,37971
Gerald_Guralnik,140
Gerald_Mahan,171
Gerard_'t_Hooft,632
Germicidal_lamp,493
Giant_Arc,3354
Gibbs_free_energy,106585
Gibbs_measure,113
Gibbs_paradox,312
Gilbert_N._Lewis,1134
Gilbert_U-238_Atomic_Energy_Laboratory,56335
Gimbal_lock,29392
Ginestra_Bianconi,150
Giorgio_Parisi,1051
Giorgos_Grammatikakis,771
Giovanni_Rossi_Lomanitz,69123
Glass,219536
Glass_fiber,3592
Glass_harmonica,96218
Glass_transition,39743
Glassblowing,24028
Glasses,122302
Gleason's_theorem,150
Glenn_T._Seaborg,68982
Glider_(sailplane),9539
Gliding,202
Glitch_(astronomy),637
Glory_(optical_phenomenon),18660
Glossary_of_physics,1682
Glueball,3821
Gluon,69393
Godiva_device,2379
Gold,839052
Golden_hour_(photography),71520
Goldstone_boson,134
Goniometer,647
Gordon_Moore,125075
Gordon_Sutherland,399
Gottfried_Wilhelm_Leibniz,1204
Gradient,187901
Gradient_theorem,109
Grain_boundary,105
Gram,45966
Grand_Unified_Theory,41403
Grand_canonical_ensemble,413
Grandfather_paradox,165406
Grant_Tremblay,174
Granular_convection,2238
Graphane,1509
Graphene,354493
Gravastar,39469
Gravitation_(book),93
Gravitational-wave_observatory,91
Gravitational_acceleration,39534
Gravitational_binding_energy,268
Gravitational_collapse,13406
Gravitational_constant,261029
Gravitational_energy,17016
Gravitational_field,3330
Gravitational_interaction_of_antimatter,1439
Gravitational_lens,41463
Gravitational_memory_effect,91
Gravitational_microlensing,140
Gravitational_potential,4536
Gravitational_redshift,1427
Gravitational_shielding,216
Gravitational_singularity,116306
Gravitational_time_dilation,58745
Gravitational_wave,119683
Gravitational_wave_background,2560
Gravitoelectromagnetism,90
Graviton,85962
Gravity,551317
Gravity_Probe_B,962
Gravity_Research_Foundation,536
Gravity_anomaly,20843
Gravity_assist,52535
Gravity_bong,41944
Gravity_gradiometry,132
Gravity_of_Earth,102356
Gravity_of_Mars,7599
Gravity_train,1981
Gravity_wave,5498
Gravity_well,245
Gray_(unit),75455
Great_Attractor,331537
Great_Comet_of_1680,6160
Great_Dark_Spot,34190
"Greek_letters_used_in_mathematics,_science,_and_engineering",95298
Green's_law,107
Green's_theorem,78838
Green_flash,101285
Greenhouse,46451
Gregorian_telescope,182
Grid_fin,989
Grigory_Klinishov,1306
Grism,195
Ground-effect_train,99
Ground_(electricity),62627
Ground_effect_(aerodynamics),12068
Ground_effect_(cars),5901
Ground_level_enhancement,706
Ground_plane,732
Ground_resonance,297
Ground_source_heat_pump,7302
Ground_state,1546
Ground_wave,130
Group-velocity_dispersion,3845
Group_delay_and_phase_delay,1773
Group_velocity,4887
Grover's_algorithm,36879
Gruppentheorie_und_Quantenmechanik,2858
Guglielmo_Marconi,256581
Gull_wing,137
Gun-type_fission_weapon,38986
Gurney_flap,254
Gustav_Kirchhoff,2565
Gustav_Ludwig_Hertz,2389
Gustave_Eiffel,215270
Gyromagnetic_ratio,3768
Gyroscope,116750
H-theorem,96
H._C._Verma,1441
H2O,6383
HD1,2625
Habitability_of_red_dwarf_systems,98
Habitable_zone,62226
Hadiyah-Nicole_Green,9538
Hadron,76413
Hafnium_controversy,2342
Hagedorn_temperature,108
Haim_Harari,287
Hajo_Meyer,6933
Hakeem_Oluseyi,12229
Halbach_array,4565
Half-life,181584
Hall-effect_thruster,54445
Hall_effect,84339
Hall_effect_sensor,62761
Halo_(optical_phenomenon),70711
Hamilton's_optico-mechanical_analogy,110
Hamilton's_principle,1364
Hamiltonian_(quantum_mechanics),77145
Hamiltonian_mechanics,75543
Hanbury_Brown_and_Twiss_effect,101
Hand_boiler,90
Hang_gliding,29753
Hans_Albert_Einstein,289115
Hans_Bethe,184557
Hans_Ferdinand_Mayer,144
Hans_Geiger,624
Hans_von_Ohain,521
Hantaro_Nagaoka,150
Hard_radiation,6933
Hardness,4743
Hardy's_paradox,536
Harmonic,40241
Harmonic_oscillator,58926
Harmonic_series_(music),74314
Harold_Agnew,1738
Harold_E._Puthoff,20705
Harrie_Massey,3041
Harry_Daghlian,178069
Harry_Hammond_Hess,145
Hartland_Snyder,14584
Harwell_Synchrocyclotron,1317
Havana_syndrome,888917
Hawking's_time_traveller_party,3488
Hawking_radiation,182982
Head-related_transfer_function,975
Hearing_range,62185
Heat,145305
Heat_capacity,48861
Heat_capacity_ratio,20812
Heat_death_of_the_universe,338491
Heat_engine,12290
Heat_equation,100616
Heat_flux,6367
Heat_pump,263319
Heat_pump_and_refrigeration_cycle,6102
Heat_spreader,1165
Heat_transfer,75074
Heat_transfer_coefficient,68880
Heather_Reid,242
Heating_element,1380
Heavy_metals,68648
Heavy_water,460485
Heiligenschein,420
Heim_theory,171
Heinrich_Friedrich_Weber,396
Heinrich_Hertz,31292
Heinrich_Wilhelm_Matthias_Olbers,1214
Heinz_Pagels,238
Heisenberg_picture,3036
Heliocentrism,144477
Heliophysics,534
Heliosphere,103675
Heliospheric_current_sheet,892
Helium,400593
Helium-3,130405
Helium_atom,235
Helium_flash,1947
Helmholtz_coil,3204
Helmholtz_decomposition,1659
Helmholtz_equation,19832
Helmholtz_free_energy,10213
Helmholtz_resonance,22858
Hemodynamics,498
Hendrik_Lorentz,6682
Henri_Becquerel,5269
Henry's_law,50743
Henry_(unit),20324
Henry_Cavendish,42886
Henry_Moseley,6107
Henry_Rainsford_Hulme,1774
Henry_Way_Kendall,158
Heraclitus,279899
Herbert_Dingle,259
Herbert_Kroemer,1431
Herbert_L._Anderson,154
Herman_Branson,1212
Hermann_Minkowski,5313
Hermann_Oberth,803
Hermann_Weyl,2967
Hermann_von_Helmholtz,9403
Hero_of_Alexandria,39526
Heron's_fountain,3870
Hertz,419121
Hess's_law,2149
Hexagonal_crystal_family,16710
Hidden-variable_theory,1141
Hidden_subgroup_problem,293
Hiding_power,6284
Hierarchy_problem,3631
Higgs_boson,664230
Higgs_mechanism,33468
High-altitude_nuclear_explosion,3452
High-entropy_alloy,547
High-frequency_Active_Auroral_Research_Program,726519
High-refractive-index_polymer,2322
High-speed_steel,2035
High-temperature_superconductivity,32118
High_Altitude_Water_Cherenkov_Experiment,283
High_Flux_Isotope_Reactor,164
High_beta_fusion_reactor,545
High_frequency,27442
High_harmonic_generation,316
High_voltage,8703
Highest_temperature_recorded_on_Earth,293384
Hilbert_space,182786
Hippasus,901
History_of_Lorentz_transformations,503
History_of_Maxwell's_equations,301
History_of_Solar_System_formation_and_evolution_hypotheses,150
History_of_atomic_theory,17015
History_of_electromagnetic_theory,127
History_of_gravitational_theory,13952
History_of_magnetic_resonance_imaging,951
History_of_measurement,1249
History_of_nuclear_fusion,1474
History_of_nuclear_weapons,55805
History_of_physics,2566
History_of_quantum_mechanics,6615
History_of_radio,57144
History_of_string_theory,503
History_of_the_Big_Bang_theory,8722
History_of_the_battery,28318
History_of_the_metre,433
History_of_the_metric_system,24552
History_of_the_periodic_table,22673
History_of_the_transistor,23913
History_of_thermodynamics,94
Hodograph,263
Hofstadter's_butterfly,460
Hohlraum,219
Holger_Bech_Nielsen,186
Hollow_Earth,402741
Holographic_principle,88128
Holography,170427
Homestake_Mine_(South_Dakota),38202
Homi_J._Bhabha,73683
Homodyne_detection,93
Homogeneity_and_heterogeneity,32759
Homologous_temperature,346
Hooke's_law,140142
Hopfield_dielectric,253
Hopfield_network,31721
Horizontal_Falls,2430
Horn_antenna,857
Horseshoe_orbit,1150
Hot_cathode,155
Hot_chocolate_effect,377
How_I_Killed_Pluto_and_Why_It_Had_It_Coming,52747
Howard_Georgi,109
Howard_H._Aiken,1582
Hubbard_model,137
Hubble's_law,170060
Hubble_Deep_Field,4874
Hubble_Space_Telescope,426818
Hubble_Ultra-Deep_Field,11296
Hubble_volume,790
Hubert_Reeves,1488
Huge-LQG,218
Hugh_Everett_III,5171
Hugh_Latimer_Dryden,154
Hugh_Ross_(astrophysicist),15362
Hull_speed,116
Human_echolocation,13192
Humidity,303671
Hund's_rule_of_maximum_multiplicity,708
Hund's_rules,754
Hunting_oscillation,91
Hybrid_airship,272
Hydraulic_accumulator,190
Hydraulic_diameter,670
Hydraulic_fluid,6378
Hydraulic_head,3830
Hydraulic_jump,235
Hydraulic_machinery,768
Hydraulics,41206
Hydrodynamical_helicity,1293
Hydrogen,616332
Hydrogen-alpha,2452
Hydrogen_atom,51488
Hydrogen_bomb,1242875
Hydrogen_embrittlement,11818
Hydrogen_ion,3768
Hydrogen_line,7152
Hydrogen_maser,104
Hydrogen_spectral_series,34230
Hydrophone,5164
Hydropower,10846
Hydrostatic_equilibrium,35515
Hydrostatic_pressure,1145
Hydrostatics,29769
Hygroelectricity,3568
Hygrometer,27948
Hyper-Kamiokande,1137
Hyperbolic_motion_(relativity),111
Hyperfine_structure,5405
Hypergravity,232
Hyperloop,190382
Hypernova,6562
Hypernucleus,2933
Hyperon,1438
Hyperplane,2009
Hypersonic_speed,90746
Hyperspectral_imaging,22051
Hypervelocity,1162
Hypothetical_star,105
Hysteresis,82843
IBM_(atoms),1335
IKAROS,4003
ISO/IEC_80000,2555
ITER,90156
Ice,163280
IceCube_Neutrino_Observatory,34265
Ice_II,6237
Ice_III,4620
Ice_IX,8236
Ice_Ih,940
Ice_VI,7596
Ice_VII,11844
Ice_X,603
Ice_XIX,319
Ice_crystal,1533
Ice_nucleus,100
Ideal_gas,10084
Ideal_gas_law,289549
Ignace-Gaston_Pardies,1031
Igor_Kurchatov,823
Ilya_Nemenman,148
Ilya_Prigogine,1005
Image_noise,1430
Imaginary_time,1026
Immersion_lithography,342
Impact_depth,127
Impedance_of_free_space,255
Impeller,1023
Imperial_and_US_customary_measurement_systems,16483
Imperial_units,294601
Implosion_(mechanical_process),315360
Impulse_(physics),45010
In_silico,466
Incandescence,936
Inch_of_water,3159
Incompressible_flow,593
Index_of_physics_articles_(B),1135
Indistinguishable_particles,178
Individuation,14761
Induced_gamma_emission,113
Induced_radioactivity,153
Inductance,67648
Induction_heating,11812
Inductive_charging,67331
Inductively_coupled_plasma,116
Inductively_coupled_plasma_atomic_emission_spectroscopy,94
Inductively_coupled_plasma_mass_spectrometry,6327
Industrial_radiography,493
Inelastic_collision,724
Inert-pair_effect,148
Inertia,88408
Inertial_confinement_fusion,4937
Inertial_frame_of_reference,4014858
Inexhaustible_bottle,153
Infiltration_(hydrology),1032
Inflationary_epoch,115
Inflaton,104
Infrared,282969
Infrared_thermometer,3162
Infrasound,97346
Inge_Lehmann,461
Inhomogeneous_cosmology,2759
Initial_singularity,48053
Injector,90
Insect_flight,455
Instant,250
Instanton,2891
Institute_for_Science_and_International_Security,160
Institute_of_Electrical_and_Electronics_Engineers,193995
Integrating_sphere,363
Intensity_(physics),2738
Intensive_and_extensive_properties,49533
Interaction_picture,96
Interferometry,38037
Intermediate-mass_black_hole,619
Intermetallic,169
Intermodulation,217
Intermolecular_force,19617
Internal_conversion,94
Internal_energy,19122
International_Physics_Olympiad,930
International_Prototype_of_the_Kilogram,3178
International_Standard_Atmosphere,3916
International_System_of_Units,519628
Interplanetary_Transport_Network,1114
Interpretations_of_quantum_mechanics,38502
Interstellar_travel,65728
Intrinsic_semiconductor,514
Introduction_to_M-theory,112
Introduction_to_general_relativity,3129
Introduction_to_quantum_mechanics,24669
Introduction_to_special_relativity,2637
Invariant_mass,219
Invention_of_radio,60794
Inverse-square_law,93392
Inverted_pendulum,3805
Inviscid_flow,347
Invisibility,174
Iodine_pit,4988
Ioffe_Institute,411
Ion,308077
Ion-propelled_aircraft,3399
Ion_implantation,422
Ion_source,213
Ion_thruster,105303
Ionization,52801
Ionization_energy,33734
Ionized-air_glow,1363
Ionizing_radiation,230538
Ionosphere,61342
Ionospheric_heater,710
Ionospheric_storm,111
Irradiance,4254
Irradiation,90
Irreducible_representation,94
Irreversible_process,1874
Irving_Langmuir,857
Isaac_Newton,1393954
Isaac_Newton_in_popular_culture,576
Isentropic_process,10317
Ising_model,57364
Island_of_stability,77379
Isobaric_process,321
Isochoric_process,283
Isolated_system,211
Isospin,487
Isothermal_process,8450
Isotope,179778
Isotope_analysis,245
Isotropy,19752
Ivar_Giaever,451
Ivette_Fuentes,101
J._Doyne_Farmer,1691
J._J._Thomson,86995
J._Richard_Gott,2046
J._Robert_Oppenheimer,16991751
J/psi_meson,122
JILA,93
JT-60,1199
Jack_Cover,390
Jack_Kilby,9059
Jack_Sarfatti,5618
Jack_Steinberger,486
Jacobi_ellipsoid,228
Jacques_Charles,176
Jagadish_Chandra_Bose,27306
James_Bjorken,1750
James_Chadwick,18231
James_Clerk_Maxwell,268948
James_Dewar,231
James_E._Boyd_(scientist),1020
James_E._McDonald,617
James_Franck,5307
James_Hansen,6875
James_M._Bardeen,101
James_Prescott_Joule,2217
James_Van_Allen,857
James_Watson,196816
Janna_Levin,4997
Jansky,320
Javier_Solana,510
Jay_Last,522
Jayant_Narlikar,318
Jean-Baptiste_Biot,185
Jean-Pierre_Luminet,634
Jean_le_Rond_d'Alembert,507
Jearl_Walker,1105
Jenny_Hoffman,1495
Jeremy_England,2401
Jerk_(physics),49386
Jerome_Isaac_Friedman,105
Jerry_C._Elliott,887
Jerzy_Lewandowski,110
Jet_Propulsion_Laboratory,183681
Jet_engine_performance,177
Jim_Peebles,303
Joan_Curran,1282
Joan_Feynman,880
Joan_Hinton,530
Jocelyn_Bell_Burnell,43120
Jochen_Heisenberg,6495
Johannes_Hentschel,243
Johannes_Kepler,288904
John_Archibald_Wheeler,58107
John_Bardeen,45209
John_C._Baez,3591
John_C._Mather,206
John_Clauser,32044
John_Cockcroft,1865
John_Dalton,54751
"John_Ellis_(physicist,_born_1946)",880
John_G._Trump,367615
John_H._Lawrence,1338
John_Hagelin,5478
John_Hartnett_(physicist),291
John_Hopfield,90210
John_J._Hopfield_(spectroscopist),3362
John_Kanzius,95
John_L._Hall,150
John_M._Martinis,96
John_Napier,5288
John_Poindexter,8653
John_Polkinghorne,92
John_Preskill,154
John_Robert_Schrieffer,757
John_Scales_Avery,111
John_Stewart_Bell,2781
John_Tyndall,1221
John_Vincent_Atanasoff,220
John_Winthrop_(educator),222
John_von_Neumann,698166
Joint_European_Torus,2187
Joint_Evaluated_Fission_and_Fusion,543
Joint_Institute_for_Nuclear_Research,1158
Jonathan_McDowell,1603
Jonathan_Oppenheim,1248
Jones_calculus,1084
Jordin_Kare,1034
Jorge_E._Hirsch,611
